layer,head,mean_value,rank
13,0,1.41796875,232
16,15,1.41796875,233
19,3,1.41796875,234
19,9,1.41796875,235
19,13,1.41796875,236
20,2,1.41796875,237
20,8,1.41796875,238
1,15,1.4189453125,239
4,2,1.4189453125,240
6,4,1.4189453125,241
7,10,1.4189453125,242
9,13,1.4189453125,243
13,5,1.4189453125,244
14,11,1.4189453125,245
19,8,1.4189453125,246
19,10,1.4189453125,247
21,11,1.4189453125,248
22,11,1.4189453125,249
1,4,1.419921875,250
3,13,1.419921875,251
4,3,1.419921875,252
5,8,1.419921875,253
5,13,1.419921875,254
6,6,1.419921875,255
10,10,1.419921875,256
11,3,1.419921875,257
13,15,1.419921875,258
15,15,1.419921875,259
16,9,1.419921875,260
16,11,1.419921875,261
17,5,1.419921875,262
18,9,1.419921875,263
19,12,1.419921875,264
21,6,1.419921875,265
22,13,1.419921875,266
1,3,1.4208984375,267
4,1,1.4208984375,268
6,9,1.4208984375,269
7,5,1.4208984375,270
10,4,1.4208984375,271
10,9,1.4208984375,272
13,2,1.4208984375,273
13,3,1.4208984375,274
16,0,1.4208984375,275
16,8,1.4208984375,276
17,3,1.4208984375,277
18,13,1.4208984375,278
22,1,1.4208984375,279
22,7,1.4208984375,280
0,12,1.421875,281
2,4,1.421875,282
2,7,1.421875,283
4,13,1.421875,284
5,4,1.421875,285
7,9,1.421875,286
15,11,1.421875,287
16,12,1.421875,288
21,1,1.421875,289
5,11,1.4228515625,290
6,15,1.4228515625,291
7,8,1.4228515625,292
9,8,1.4228515625,293
9,10,1.4228515625,294
18,14,1.4228515625,295
19,7,1.4228515625,296
21,13,1.4228515625,297
23,11,1.4228515625,298
1,5,1.423828125,299
1,9,1.423828125,300
2,15,1.423828125,301
7,12,1.423828125,302
9,11,1.423828125,303
10,2,1.423828125,304
11,9,1.423828125,305
11,13,1.423828125,306
17,15,1.423828125,307
20,3,1.423828125,308
20,4,1.423828125,309
4,10,1.4248046875,310
13,1,1.4248046875,311
14,9,1.4248046875,312
14,15,1.4248046875,313
18,8,1.4248046875,314
18,10,1.4248046875,315
21,7,1.4248046875,316
21,14,1.4248046875,317
2,12,1.42578125,318
